date,name,category,value
2019-08-13,Ice Cube,,13
2019-08-13,Foo Fighters,,12
2019-08-13,Nothing But Thieves,,10
2019-08-13,Prateek Kuhad,,10
2019-08-13,The Neighbourhood,,10
2019-08-13,Daft Punk,,8
2019-08-13,Vance Joy,,8
2019-08-13,Childish Gambino,,7
2019-08-13,Train,,7
2019-08-13,Eminem,,6
2019-08-13,Gorillaz,,5
2019-08-13,Radiohead,,5
2019-08-13,Albert Hammond, Jr.,,4
2019-08-13,Avicii,,3
2019-08-13,Guns N' Roses,,3
2019-08-13,Hozier,,3
2019-08-13,José González,,3
2019-08-13,Kanye West,,3
2019-08-13,Macklemore & Ryan Lewis,,3
2019-08-13,MGMT,,3
2019-08-13,Nickelback,,3
2019-08-13,Pink Floyd,,3
2019-08-13,Portugal. The Man,,3
2019-08-13,Ray LaMontagne,,3
2019-08-13,Bastille,,2
2019-08-13,Calvin Harris,,2
2019-08-13,Drake,,2
2019-08-13,Franz Ferdinand,,2
2019-08-13,Gotye,,2
2019-08-13,Mumford & Sons,,2
2019-08-13,Naughty Boy,,2
2019-08-13,Passenger,,2
2019-08-13,Pixies,,2
2019-08-13,R.E.M.,,2
2019-08-13,Rick Astley,,2
2019-08-13,The 1975,,2
2019-08-13,The Notorious B.I.G.,,2
2019-08-13,The Velvet Underground,,2
2019-08-14,The Strokes,,76
2019-08-14,Kendrick Lamar,,56
2019-08-14,The Rolling Stones,,47
2019-08-14,Tame Impala,,44
2019-08-14,Arctic Monkeys,,38
2019-08-14,Red Hot Chili Peppers,,35
2019-08-14,Sublime,,32
2019-08-14,The Lumineers,,29
2019-08-14,The Last Shadow Puppets,,23
2019-08-14,Train,,16
2019-08-14,Green Day,,15
2019-08-14,Julian Casablancas,,15
2019-08-14,Ice Cube,,14
2019-08-14,Kodaline,,14
2019-08-14,Foo Fighters,,12
2019-08-14,Nothing But Thieves,,10
2019-08-14,Pink Floyd,,10
2019-08-14,Prateek Kuhad,,10
2019-08-14,The Neighbourhood,,10
2019-08-14,Daft Punk,,8
2019-08-14,Vance Joy,,8
2019-08-14,Childish Gambino,,7
2019-08-14,Eminem,,7
2019-08-14,Gorillaz,,5
2019-08-14,Radiohead,,5
2019-08-14,Albert Hammond, Jr.,,4
2019-08-14,Avicii,,3
2019-08-14,Guns N' Roses,,3
2019-08-14,Hozier,,3
2019-08-14,José González,,3
2019-08-14,Kanye West,,3
2019-08-14,Macklemore & Ryan Lewis,,3
2019-08-14,MGMT,,3
2019-08-14,Nickelback,,3
2019-08-14,Portugal. The Man,,3
2019-08-14,Ray LaMontagne,,3
2019-08-14,The Velvet Underground,,3
2019-08-14,Bastille,,2
2019-08-14,Calvin Harris,,2
2019-08-14,Drake,,2
2019-08-14,Franz Ferdinand,,2
2019-08-14,Gotye,,2
2019-08-14,Mumford & Sons,,2
2019-08-14,Naughty Boy,,2
2019-08-14,Passenger,,2
2019-08-14,Pixies,,2
2019-08-14,Queen,,2
2019-08-14,R.E.M.,,2
2019-08-14,Rick Astley,,2
2019-08-14,The 1975,,2
2019-08-15,The Strokes,,76
2019-08-15,Kendrick Lamar,,56
2019-08-15,The Rolling Stones,,47
2019-08-15,Tame Impala,,45
2019-08-15,Arctic Monkeys,,38
2019-08-15,Red Hot Chili Peppers,,35
2019-08-15,Sublime,,32
2019-08-15,The Lumineers,,29
2019-08-15,The Last Shadow Puppets,,23
2019-08-15,Train,,16
2019-08-15,Green Day,,15
2019-08-15,Julian Casablancas,,15
2019-08-15,Ice Cube,,14
2019-08-15,Kodaline,,14
2019-08-15,Foo Fighters,,12
2019-08-15,Pink Floyd,,11
2019-08-15,Nothing But Thieves,,10
2019-08-15,Prateek Kuhad,,10
2019-08-15,The Neighbourhood,,10
2019-08-15,Daft Punk,,8
